model,k,precision,recall,mrr,f1,time_sec
MiniLM-L6-v2,7,0.6381,0.09,0.8,0.155,2.3
MPNet-base-v2,7,0.6952,0.122,0.8,0.1844,7.6
BGE-small-en,7,0.7143,0.102,0.9333,0.175,9.2
TF-IDF,7,0.7619,0.1366,0.9167,0.2076,0.6
BM25,7,0.8286,0.1721,1.0,0.2426,0.3
BGE-M3,7,0.810,0.163,1.0,0.243,225.3
Instructor-XL,7,0.6571,0.1015,0.9333,0.1723,57.1
